cihaz_adi,fiyat
Xiaomi Redmi 15C 8 + 256 GB (Xiaomi Türkiye Garantili),8.899 TL
Xiaomi Redmi 15 8 GB 256 GB (Xiaomi Türkiye Garantili),10.889 TL
Apple iPhone 17 256 GB  (Apple Türkiye Garantili),"73.785,35 TL"
Samsung Galaxy A56 8 GB 256 GB (Samsung Türkiye Garantili),23.700 TL
Xiaomi Redmi Note 14 Pro 8 GB 256 GB (Xiaomi Türkiye Garantili),"16.305,10 TL"
Apple iPhone 15 128 GB (Apple Türkiye Garantili),46.929 TL
Samsung Galaxy A07 4 GB 128 GB  (Samsung Türkiye Garantili),"7.703,10 TL"
Apple iPhone 16 128 GB (Apple Türkiye Garantili),57.929 TL
Xiaomi Redmi Note 15 8 GB+256 GB (Xiaomi Türkiye Garantili),"14.035,87 TL"
Apple MFHP4TU/A Airpods Pro 3 Bluetooth Kulak İçi Kulaklık,11.599 TL
Samsung Galaxy S25 Fe 8 GB 256 GB (Samsung Türkiye Garantili),"29.896,55 TL"
Xiaomi Redmi Note 15 Pro 8 GB+256 GB (Xiaomi Türkiye Garantili),16.999 TL
Xiaomi Redmi Note 15 Pro 12 GB+512 GB (Xiaomi Türkiye Garantili),21.999 TL
Samsung Galaxy A36 8 GB 256 GB (Samsung Türkiye Garantili),"19.414,55 TL"
Apple AirPods 4 ANC MXP93TU/A Bluetooth Kulak İçi Kulaklık (Apple Türkiye Garantili),9.299 TL
Samsung Galaxy A57 8 GB 256 GB Akıllı Telefon (Samsung Türkiye Garantili),30.325 TL
Haylou GT1 Bluetooth 5.0 Kulak İçi Kulaklık,400 TL
Apple iPhone 17 Pro Max 256 GB (Apple Türkiye Garantili),122.500 TL
Apple iPhone 15 256 GB (Apple Türkiye Garantili),53.500 TL
Samsung Galaxy A17 5G 6 GB 128 GB (Samsung Türkiye Garantili),"12.076,53 TL"
